"","r_1","r_2","r_3","r_4","p_1","p_2","p_3","p_4"
"lh_bankssts_thickness","-0.0995521657695576","-0.0431630168237531","0.0238874013185092","-0.00971088509158602","0.243613242551078","0.613892954704986","0.780148918849284","0.909667103099019"
"lh_caudalanteriorcingulate_thickness","0.114551059286428","0.100312037736745","-0.130820908751692","-0.00923746432779195","0.179347775981053","0.240015530867619","0.12477580846138","0.914053654104233"
"lh_caudalmiddlefrontal_thickness","-0.0351895369063116","-0.0103373266632302","-0.0186440885138197","-0.1435376009147","0.680882270606236","0.903866920281351","0.827550228954005","0.0918454068094015"
"lh_cuneus_thickness","0.0539110100343573","0.0930074950560803","0.0119104124741327","0.0355098777818471","0.528484958029981","0.276152742502604","0.889324836246532","0.678137758428277"
"lh_entorhinal_thickness","0.0519300775388474","-0.034363596169205","-0.215626601327847","-0.033229987421348","0.543766161022404","0.687977724478175","0.0107937480612548","0.697760567811002"
"lh_fusiform_thickness","-0.023163165705232","-0.0513706715649596","-0.0176188184039005","-0.127989043158077","0.786652582106205","0.548120526270353","0.836897930656926","0.133219889846689"
"lh_inferiorparietal_thickness","-0.177689462100622","-0.0562395012899665","0.0332665095584052","0.0364858703953478","0.0363765315569304","0.510803459490502","0.697444602006586","0.66980209408776"
"lh_inferiortemporal_thickness","-0.139912716903761","-0.0803570222861962","-0.00333915767365378","-0.0605204039763563","0.100436438952112","0.347031955090972","0.968880269459743","0.479112415730233"
"lh_isthmuscingulate_thickness","-0.00872205829209753","-0.00537188365895765","-0.0908518563364073","0.0636823749008535","0.918832167071479","0.949955940474238","0.287484326644345","0.456404356892667"
"lh_lateraloccipital_thickness","-0.0844839395549398","0.0860346744322121","0.05959651069918","0.0578756609237495","0.322748503907533","0.313914191810704","0.485860773584198","0.498564695658372"
"lh_lateralorbitofrontal_thickness","-0.0249493122734316","0.000724558473179654","-0.105675004842817","-0.0357016965140478","0.770640484368355","0.99324576520846","0.215675577041231","0.676496372808952"
"lh_lingual_thickness","-0.0579948675293277","0.0701138370854377","0.100609308093703","-0.0830911626672175","0.497679075671821","0.412116183698781","0.238618195813892","0.330818298951254"
"lh_medialorbitofrontal_thickness","-0.0236074133844524","0.00336350914301633","-0.112942714641989","-0.072821048663353","0.782661444512293","0.96865343775117","0.185572647708776","0.394254922672613"
"lh_middletemporal_thickness","-0.0975156394594972","-0.0744918479922904","-0.0207242829252255","-0.108161329511226","0.253439637560868","0.383466546757264","0.808659836277424","0.205008857024924"
"lh_parahippocampal_thickness","0.00323437307537779","-0.0765098103474037","-0.0970957150845857","-0.0380157407181509","0.969856356585494","0.370677604508226","0.25549927989995","0.656816806768275"
"lh_paracentral_thickness","-0.0560604499514979","-0.135336162313138","0.0477784730695167","0.0360936803814211","0.512152157880786","0.112173641637575","0.576480961102","0.673146911829013"
"lh_parsopercularis_thickness","0.0360980450298289","-0.0329610981695131","-0.0865087875600986","-0.0921901985985873","0.673109652286355","0.700088415249733","0.311244945157466","0.280413061045606"
"lh_parsorbitalis_thickness","-0.0266848452285981","-0.122306783791453","0.0158640817719494","-0.0555524371961594","0.755174111131026","0.151473772585093","0.852948673262039","0.515988722985897"
"lh_parstriangularis_thickness","-0.121300068855651","-0.0374349980414505","0.00564995666430713","-0.0401159304942516","0.154895462577045","0.66173425916107","0.947369061130275","0.639157037713736"
"lh_pericalcarine_thickness","-0.129637705435549","0.0903997257162796","-0.0491622904205205","-0.0191394805924178","0.128252264945791","0.289899863012023","0.565474932431369","0.823042144980032"
"lh_postcentral_thickness","-0.1776516247181","-0.177772421294842","0.0238200186958779","0.041971238934223","0.0364170013489762","0.0362879334021331","0.780753383414205","0.623722534509585"
"lh_posteriorcingulate_thickness","-0.0185226016983258","0.0106638243604319","-0.126799110798457","-0.0525743719611308","0.828656627479802","0.90084588907059","0.136895868066735","0.538772215018149"
"lh_precentral_thickness","-0.099551783126358","-0.0559354266698848","0.00890885685854851","-0.0267930964987705","0.24361506361299","0.513094979645361","0.9170999469315","0.75421255644319"
"lh_precuneus_thickness","-0.0952200012878432","0.0148697091001332","-0.0399701339945354","-0.0173575980092303","0.264839571995438","0.862071541618627","0.640376623623939","0.839283257015355"
"lh_rostralanteriorcingulate_thickness","-0.0615059974638482","-0.0713444643941991","-0.157917133585004","-0.0707088195434396","0.471969542056436","0.40393880458311","0.0633580327571917","0.408150534793384"
"lh_rostralmiddlefrontal_thickness","-0.109121196701683","-0.0694533373314827","0.0195721659260702","-0.00497072938331592","0.200994084581564","0.416544873964135","0.819109409205706","0.953688742151746"
"lh_superiorfrontal_thickness","-0.018709237119613","-0.0488419992349275","-0.0472922091161415","-0.112890137297938","0.826957050145804","0.568013430455903","0.580371989619054","0.185778774795029"
"lh_superiorparietal_thickness","-0.0854100514011468","-0.0238149758285151","0.0516731443577757","0.0211052502176817","0.317453474483175","0.780798626386339","0.545763990684281","0.805211820349255"
"lh_superiortemporal_thickness","-0.147160837516376","-0.0301225145837559","-0.0549915141750469","-0.0660004524777007","0.0838523571062826","0.724829171582689","0.52024193350408","0.440144434503843"
"lh_supramarginal_thickness","-0.188763302692868","-0.0797492098211153","0.0121181815074672","-0.0361106172239665","0.026051986269144","0.350703157543613","0.887406799836374","0.673002332107923"
"lh_frontalpole_thickness","0.0598779228974872","-0.0506337461886307","-0.0922762641742006","-0.034570415205921","0.483799895063391","0.553882569810595","0.279962358740718","0.686198411943381"
"lh_temporalpole_thickness","-0.0397481496834691","-0.0240718442981706","-0.0282494156702598","-0.0303324180358087","0.642235364917348","0.778495022304946","0.74131380498774","0.72298954324539"
