"","X1","X2","X3","X4","X1","X2","X3","X4"
"1","rho","rho","rho","rho","p","p","p","p"
"lh_bankssts_thickness","-0.243900247851109","-0.0323654837200539","0.0997638655066513","0.000896169747232404","0.0038109224215257","0.705254718115231","0.242607178569433","0.991646080708555"
"lh_caudalanteriorcingulate_thickness","0.162354584556768","0.18456390128485","-0.338539344047793","0.0258813674967436","0.0561929307634828","0.0296265116244567","4.57560885913644e-05","0.762322735730537"
"lh_caudalmiddlefrontal_thickness","-0.110144011264112","-0.0471933278650589","-0.0842217126444208","-0.255289237007984","0.196778796919914","0.581164712499354","0.324258070954612","0.00242088573283539"
"lh_cuneus_thickness","0.0586447766125615","0.0602117358361308","0.0944351475286361","0.058471817472427","0.492865319035646","0.481361362484647","0.268816037991557","0.494143980826186"
"lh_entorhinal_thickness","0.11334348110551","-0.0571085131788231","-0.550893663388791","-0.125060552910152","0.184006955094913","0.504283825029303","2.1165291741454e-12","0.142405152647592"
"lh_fusiform_thickness","-0.0606246152702916","-0.183045211627157","-0.142323062665776","-0.231122227307493","0.478354418382391","0.0310180809820357","0.0946563219913195","0.00619174682861656"
"lh_inferiorparietal_thickness","-0.250844075957338","-0.159845894781124","0.210288651329581","0.0385250248507457","0.0028968719399447","0.0601569015135324","0.0129650624415396","0.652516486654095"
"lh_inferiortemporal_thickness","-0.155952919136814","-0.118455372500379","0.0111151692245916","-0.0646851953406889","0.0667597295796556","0.164877792331689","0.89667201385202","0.449329524881553"
"lh_isthmuscingulate_thickness","0.0329759625709721","-0.00986167655306073","-0.325308094802408","0.0643796648033793","0.699959657049651","0.908270487522797","9.32480481092846e-05","0.45147848112743"
"lh_lateraloccipital_thickness","-0.112393362343949","-0.000654462138022362","0.094646259411423","-0.0451538061903411","0.187734627545328","0.993899180369774","0.267742474257556","0.597625965565645"
"lh_lateralorbitofrontal_thickness","-0.105147430359607","-0.118156852934516","-0.278400799375873","-0.125833797013806","0.217988897315455","0.165952478168387","0.000904970454312481","0.139934398159844"
